Empresa, Alborada
,,,,,,
contrato,nro_adh,parentesco,fecha_ingreso,estado,tipo
VIT0000003,2774,TITULAR,2011-04-28 00:00:00,Activo,SOCIO INDIVIDUAL                                                                                    
VIT0000001,17598,TITULAR,2011-04-11 00:00:00,Activo,"TITULAR, CONYUGE MAS 2 HIJOS MENORES DE 22 ANOS      "
VIT0000001,17599,HIJO/A,2011-04-11 00:00:00,Activo,ADHERENTE SIN CARGO                                                  
VIT0000001,17600,HIJO/A,2011-04-11 00:00:00,Activo,ADHERENTE SIN CARGO                                                  
VIT0000018,2737,TITULAR,2011-05-04 00:00:00,Activo,"TITULAR, CONYUGE MAS 2 HIJOS MENORES DE 22 ANOS      "
VIT0000018,2738,CONYUGE,2011-05-04 00:00:00,Activo,ADHERENTE SIN CARGO                                                  
VIT0000018,2739,HIJO/A,2011-05-04 00:00:00,Activo,ADHERENTE SIN CARGO                                                  
VIT0000018,2740,HIJO/A,2011-05-04 00:00:00,Activo,ADHERENTE SIN CARGO                                                  
VIT0000018,2741,HIJO/A,2011-05-04 00:00:00,Activo,ADHERENTE SIN CARGO                                                  
VIT0000011,2791,TITULAR,2011-04-15 00:00:00,Activo,SOCIO INDIVIDUAL                                                                                    
VIT0000035,2826,TITULAR,2011-07-19 00:00:00,Activo,"TITULAR, CONYUGE MAS 2 HIJOS MENORES DE 22 ANOS      "
VIT0000035,2827,CONYUGE,2011-07-19 00:00:00,Activo,ADHERENTE SIN CARGO                                                  
VIT0000035,2828,HIJO/A,2011-07-19 00:00:00,Activo,ADHERENTE SIN CARGO                                                  
VIT0000031,2743,TITULAR,2011-05-17 00:00:00,Activo,"TITULAR, CONYUGE MAS 2 HIJOS MENORES DE 22 ANOS      "
VIT0000031,2744,CONYUGE,2011-05-17 00:00:00,Activo,ADHERENTE SIN CARGO                                                  
VIT0000031,2745,HIJO/A,2011-05-17 00:00:00,Activo,ADHERENTE SIN CARGO                                                  
VIT0000031,2746,HIJO/A,2011-05-17 00:00:00,Activo,ADHERENTE SIN CARGO                                                  
VIT0000035,2829,PADRE,2011-07-19 00:00:00,Activo,ADHERENTE SIN CARGO                                                  
VIT0000035,2830,MADRE,2011-07-19 00:00:00,Activo,ADHERENTE SIN CARGO                                                  
VIT0000023,2831,TITULAR,2012-03-29 00:00:00,Activo,SOCIO INDIVIDUAL                                                                                    
VIT0000041,2832,TITULAR,2012-03-29 00:00:00,Activo,"TITULAR, CONYUGE MAS 2 HIJOS MENORES DE 22 ANOS      "
VIT0000041,2833,CONYUGE,2011-10-20 00:00:00,Activo,ADHERENTE SIN CARGO                                                  
VIT0000041,2834,HIJO/A,2011-10-20 00:00:00,Activo,ADHERENTE SIN CARGO                                                  
VIT0000041,2835,HIJO/A,2011-10-20 00:00:00,Activo,ADHERENTE SIN CARGO                                                  
VIT0000041,2836,HIJO/A,2011-10-20 00:00:00,Activo,ADHERENTE SIN CARGO                                                  
VIT0000010,2850,TITULAR,2011-04-15 00:00:00,Activo,SOCIO INDIVIDUAL                                                                                    
VIT0000029,2864,TITULAR,2011-05-19 00:00:00,Activo,SOCIO INDIVIDUAL                                                                                    
ASO0000997,2887,TITULAR,2012-01-03 00:00:00,Activo,"TITULAR, PADRE Y MADRE                                                                              "
ASO0000997,2888,PADRE,2012-01-03 00:00:00,Activo,ADHERENTE SIN CARGO                                                  
ASO0000997,2889,MADRE,2012-01-03 00:00:00,Activo,ADHERENTE SIN CARGO                                                  
VIT0000015,2755,SUEGRA,2011-05-05 00:00:00,Activo,ADHERENTE SIN CARGO                                                  
VIT0000015,2756,SUEGRO,2011-05-05 00:00:00,Activo,ADHERENTE SIN CARGO                                                  
VIT0000015,2757,HERMANO/A,2011-05-05 00:00:00,Activo,ADHERENTE SIN CARGO                                                  
VIT0000014,2765,TITULAR,2011-05-02 00:00:00,Activo,"TITULAR, CONYUGE MAS 2 HIJOS MENORES DE 22 ANOS      "
VIT0000014,2766,CONYUGE,2011-05-02 00:00:00,Activo,ADHERENTE SIN CARGO                                                  
VIT0000014,2767,HIJO/A,2011-05-02 00:00:00,Activo,ADHERENTE SIN CARGO                                                  
VIT0000030,2851,TITULAR,2011-05-17 00:00:00,Activo,"TITULAR, CONYUGE MAS 2 HIJOS MENORES DE 22 ANOS      "
VIT0000030,2852,CONYUGE,2011-05-17 00:00:00,Activo,ADHERENTE SIN CARGO                                                  
VIT0000030,2853,HIJO/A,2011-05-17 00:00:00,Activo,ADHERENTE SIN CARGO                                                  
VIT0000030,2854,MADRE,2011-05-17 00:00:00,Activo,ADHERENTE SIN CARGO                                                  
VIT0000030,2855,PADRE,2011-05-17 00:00:00,Activo,ADHERENTE SIN CARGO                                                  
ASO0000906,2856,TITULAR,2011-12-19 00:00:00,Activo,SOCIO INDIVIDUAL                                                                                    
ASO0000906,2857,HERMANO/A,2011-12-19 00:00:00,Activo,ADHERENTE DE 0 A 55 ANOS                                                                            
ASO0000906,2858,HERMANO/A,2011-12-19 00:00:00,Activo,ADHERENTE DE 0 A 55 ANOS                                                                            
ASO0000911,2859,TITULAR,2011-12-29 00:00:00,Activo,"TITULAR, CONYUGE E HIJOS MENORES DE 22 MAS PADRES O SUEGROS          "
ASO0000911,2860,CONYUGE,2011-12-29 00:00:00,Activo,ADHERENTE SIN CARGO                                                  
ASO0000911,2861,HIJO/A,2011-12-29 00:00:00,Activo,ADHERENTE SIN CARGO                                                  
ASO0000911,2862,HIJO/A,2011-12-29 00:00:00,Activo,ADHERENTE SIN CARGO                                                  
ASO0000911,2863,SUEGRA,2011-12-29 00:00:00,Activo,ADHERENTE SIN CARGO                                                  
ASO0000999,2922,TITULAR,2012-03-27 00:00:00,Activo,"TITULAR, PADRE Y MADRE                                                                              "
409,607,TITULAR,2011-08-18 00:00:00,Activo,"TITULAR, CONYUGE E HIJOS MENORES DE 22 MAS PADRES O SUEGROS          "
409,608,MADRE,2011-08-18 00:00:00,Activo,ADHERENTE SIN CARGO                                                  
409,609,PADRE,2011-08-18 00:00:00,Activo,SOCIO INDIVIDUAL                                                                                    
409,610,CONYUGE,2011-08-18 00:00:00,Activo,SOCIO INDIVIDUAL                                                                                    
409,611,HIJO/A,2011-08-18 00:00:00,Activo,SOCIO INDIVIDUAL                                                                                    
407,612,TITULAR,2011-03-18 00:00:00,Activo,"TITULAR, PADRE Y MADRE                                                                              "
407,613,MADRE,2011-03-18 00:00:00,Activo,ADHERENTE SIN CARGO                                                  
407,614,HERMANO/A,2011-03-18 00:00:00,Activo,SOCIO INDIVIDUAL                                                                                    
461,622,TITULAR,2011-05-09 00:00:00,Activo,"TITULAR, CONYUGE E HIJOS MENORES DE 22 ANOS                                                         "
461,623,CONYUGE,2011-05-09 00:00:00,Activo,ADHERENTE SIN CARGO                                                  
616,628,TITULAR,2011-10-18 00:00:00,Activo,"TITULAR, CONYUGE E HIJOS MENORES DE 22 ANOS                                                         "
616,629,HIJO/A,2011-10-18 00:00:00,Activo,ADHERENTE SIN CARGO                                                  
616,630,HIJO/A,2011-10-18 00:00:00,Activo,SOCIO INDIVIDUAL                                                                                    
616,631,HIJO/A,2011-10-18 00:00:00,Activo,SOCIO INDIVIDUAL                                                                                    
616,632,HIJO/A,2011-10-18 00:00:00,Activo,SOCIO INDIVIDUAL                                                                                    
616,633,HIJO/A,2011-10-18 00:00:00,Activo,SOCIO INDIVIDUAL                                                                                    
616,634,HIJO/A,2011-10-18 00:00:00,Activo,SOCIO INDIVIDUAL                                                                                    
568,658,TITULAR,2011-08-24 00:00:00,Activo,"TITULAR, CONYUGE E HIJOS MENORES DE 22 ANOS                                                         "
568,659,HIJO/A,2011-08-24 00:00:00,Activo,ADHERENTE SIN CARGO                                                  
568,660,HIJO/A,2011-08-24 00:00:00,Activo,SOCIO INDIVIDUAL                                                                                    
568,661,HIJO/A,2011-08-24 00:00:00,Activo,SOCIO INDIVIDUAL                                                                                    
568,662,HIJO/A,2011-08-24 00:00:00,Activo,SOCIO INDIVIDUAL                                                                                    
568,663,HIJO/A,2011-08-24 00:00:00,Activo,SOCIO INDIVIDUAL                                                                                    
255,668,TITULAR,2008-12-01 00:00:00,Activo,"TITULAR, CONYUGE E HIJOS MENORES DE 22 MAS PADRES O SUEGROS          "
255,669,CONYUGE,2008-12-04 00:00:00,Activo,ADHERENTE SIN CARGO                                                  
255,670,HIJO/A,2008-12-04 00:00:00,Activo,SOCIO INDIVIDUAL                                                                                    
255,671,HIJO/A,2008-12-04 00:00:00,Activo,SOCIO INDIVIDUAL                                                                                    
255,672,HIJO/A,2008-12-04 00:00:00,Activo,SOCIO INDIVIDUAL                                                                                    
255,673,PADRE,2008-12-04 00:00:00,Activo,ADHERENTE SIN CARGO                                                  
255,674,MADRE,2008-12-04 00:00:00,Activo,SOCIO INDIVIDUAL                                                                                    
174,676,TITULAR,2008-10-09 00:00:00,Activo,"TITULAR, CONYUGE E HIJOS MENORES DE 22 ANOS                                                         "
174,677,CONYUGE,2008-10-09 00:00:00,Activo,ADHERENTE SIN CARGO                                                  
174,678,HIJO/A,2008-10-09 00:00:00,Activo,SOCIO INDIVIDUAL                                                                                    
783,850,TITULAR,2011-10-05 00:00:00,Activo,"TITULAR, PADRE Y MADRE                                                                              "
783,852,ABUELO/A,2011-10-05 00:00:00,Activo,SOCIO INDIVIDUAL                                                                                    
783,853,MADRE,2011-10-05 00:00:00,Activo,SOCIO INDIVIDUAL                                                                                    
783,854,PADRE,2011-10-05 00:00:00,Activo,SOCIO INDIVIDUAL                                                                                    
783,855,HERMANO/A,2011-10-05 00:00:00,Activo,SOCIO INDIVIDUAL                                                                                    
783,856,HERMANO/A,2011-10-05 00:00:00,Activo,SOCIO INDIVIDUAL                                                                                    
783,857,HERMANO/A,2011-10-05 00:00:00,Activo,SOCIO INDIVIDUAL                                                                                    
783,858,HERMANO/A,2011-10-05 00:00:00,Activo,SOCIO INDIVIDUAL                                                                                    
783,859,HERMANO/A,2011-10-05 00:00:00,Activo,SOCIO INDIVIDUAL                                                                                    
781,861,TITULAR,2011-09-06 00:00:00,Activo,"TITULAR, PADRE Y MADRE                                                                              "
781,863,MADRE,2011-09-06 00:00:00,Activo,SOCIO INDIVIDUAL                                                                                    
781,864,HERMANO/A,2011-09-06 00:00:00,Activo,SOCIO INDIVIDUAL                                                                                    
778,871,TITULAR,2011-09-06 00:00:00,Activo,"TITULAR, PADRE Y MADRE                                                                              "
778,872,PADRE,2011-09-06 00:00:00,Activo,ADHERENTE SIN CARGO                                                  
778,873,MADRE,2011-09-06 00:00:00,Activo,SOCIO INDIVIDUAL                                                                                    
768,874,TITULAR,2011-10-06 00:00:00,Activo,"TITULAR, CONYUGE E HIJOS MENORES DE 22 MAS PADRES O SUEGROS          "
768,875,CONYUGE,2011-10-06 00:00:00,Activo,ADHERENTE SIN CARGO                                                  
768,876,HIJO/A,2011-10-06 00:00:00,Activo,SOCIO INDIVIDUAL                                                                                    
768,877,HIJO/A,2011-10-06 00:00:00,Activo,SOCIO INDIVIDUAL                                                                                    
768,878,HIJO/A,2011-10-06 00:00:00,Activo,SOCIO INDIVIDUAL                                                                                    
768,879,HIJO/A,2011-10-06 00:00:00,Activo,SOCIO INDIVIDUAL                                                                                    
768,880,MADRE,2011-10-06 00:00:00,Activo,SOCIO INDIVIDUAL                                                                                    
768,881,SUEGRA,2011-10-06 00:00:00,Activo,SOCIO INDIVIDUAL                                                                                    
768,882,SUEGRO,2011-10-06 00:00:00,Activo,SOCIO INDIVIDUAL                                                                                    
767,883,TITULAR,2011-10-12 00:00:00,Activo,"TITULAR, CONYUGE E HIJOS MENORES DE 22 MAS PADRES O SUEGROS          "
767,884,MADRE,2011-10-12 00:00:00,Activo,ADHERENTE SIN CARGO                                                  
767,885,PADRE,2011-10-12 00:00:00,Activo,SOCIO INDIVIDUAL                                                                                    
767,886,HIJO/A,2011-10-12 00:00:00,Activo,SOCIO INDIVIDUAL                                                                                    
767,887,HIJO/A,2011-10-12 00:00:00,Activo,SOCIO INDIVIDUAL                                                                                    
131,1368,TITULAR,2008-08-25 00:00:00,Activo,"TITULAR, PADRE Y MADRE                                                                              "
408,1455,TITULAR,2011-04-18 00:00:00,Activo,"TITULAR, CONYUGE E HIJOS MENORES DE 22 MAS PADRES O SUEGROS          "
321,1512,TITULAR,2011-03-10 00:00:00,Activo,"TITULAR, CONYUGE E HIJOS MENORES DE 22 MAS PADRES O SUEGROS          "
433,1534,TITULAR,2011-04-08 00:00:00,Activo,"TITULAR, CONYUGE E HIJOS MENORES DE 22 ANOS                                                         "
335,1588,HERMANO/A,2011-03-15 00:00:00,Activo,SOCIO INDIVIDUAL                                                                                    
860,1653,TITULAR,2011-11-25 00:00:00,Activo,SOCIO INDIVIDUAL                                                                                    
ALB0001353,10592,TITULAR,2014-01-30 00:00:00,Activo,"TITULAR, CONYUGE E HIJOS MENORES DE 22 ANOS                                                         "
ALB0001353,10593,HIJO/A,2013-12-30 00:00:00,Activo,ADHERENTE SIN CARGO                                                  
ALB0001354,10598,TITULAR,2013-12-30 00:00:00,Activo,"TITULAR, CONYUGE E HIJOS MENORES DE 22 ANOS                                                         "
ALB0001354,10599,HIJO/A,2013-12-30 00:00:00,Activo,ADHERENTE SIN CARGO                                                  
ALB0001354,10600,ABUELO/A,2013-12-30 00:00:00,Activo,ADHERENTE SIN CARGO                                                  
335,1589,HERMANO/A,2011-03-15 00:00:00,Activo,SOCIO INDIVIDUAL                                                                                    
376,1590,TITULAR,2011-03-30 00:00:00,Activo,SOCIO INDIVIDUAL                                                                                    
341,1591,TITULAR,2011-03-30 00:00:00,Activo,"TITULAR, CONYUGE E HIJOS MENORES DE 22 ANOS                                                         "
355,1592,TITULAR,2011-03-30 00:00:00,Activo,SOCIO INDIVIDUAL                                                                                    
356,1593,TITULAR,2011-03-30 00:00:00,Activo,SOCIO INDIVIDUAL                                                                                    
357,1594,TITULAR,2011-03-30 00:00:00,Activo,SOCIO INDIVIDUAL                                                                                    
358,1595,TITULAR,2011-03-30 00:00:00,Activo,SOCIO INDIVIDUAL                                                                                    
359,1596,TITULAR,2011-03-30 00:00:00,Activo,SOCIO INDIVIDUAL                                                                                    
361,1598,TITULAR,2011-03-30 00:00:00,Activo,SOCIO INDIVIDUAL                                                                                    
362,1599,TITULAR,2011-03-30 00:00:00,Activo,SOCIO INDIVIDUAL                                                                                    
363,1600,TITULAR,2011-03-30 00:00:00,Activo,SOCIO INDIVIDUAL                                                                                    
365,1601,TITULAR,2011-03-30 00:00:00,Activo,"TITULAR, CONYUGE E HIJOS MENORES DE 22 ANOS                                                         "
366,1602,TITULAR,2011-03-30 00:00:00,Activo,SOCIO INDIVIDUAL                                                                                    
368,1604,TITULAR,2011-03-30 00:00:00,Activo,SOCIO INDIVIDUAL                                                                                    
370,1606,TITULAR,2011-03-30 00:00:00,Activo,SOCIO INDIVIDUAL                                                                                    
371,1607,TITULAR,2011-03-30 00:00:00,Activo,SOCIO INDIVIDUAL                                                                                    
372,1608,TITULAR,2011-03-30 00:00:00,Activo,"TITULAR, CONYUGE E HIJOS MENORES DE 22 ANOS                                                         "
378,1609,TITULAR,2011-03-30 00:00:00,Activo,SOCIO INDIVIDUAL                                                                                    
379,1610,TITULAR,2011-03-30 00:00:00,Activo,"TITULAR, CONYUGE E HIJOS MENORES DE 22 MAS PADRES O SUEGROS          "
381,1611,TITULAR,2011-03-30 00:00:00,Activo,SOCIO INDIVIDUAL                                                                                    
382,1612,TITULAR,2011-03-30 00:00:00,Activo,SOCIO INDIVIDUAL                                                                                    
374,1613,TITULAR,2011-03-30 00:00:00,Activo,SOCIO INDIVIDUAL                                                                                    
375,1614,TITULAR,2011-03-30 00:00:00,Activo,SOCIO INDIVIDUAL                                                                                    
354,1615,TITULAR,2011-03-30 00:00:00,Activo,SOCIO INDIVIDUAL                                                                                    
353,1616,TITULAR,2011-03-30 00:00:00,Activo,SOCIO INDIVIDUAL                                                                                    
350,1617,TITULAR,2011-03-30 00:00:00,Activo,SOCIO INDIVIDUAL                                                                                    
349,1618,TITULAR,2011-03-30 00:00:00,Activo,SOCIO INDIVIDUAL                                                                                    
348,1619,TITULAR,2011-03-30 00:00:00,Activo,"TITULAR, CONYUGE E HIJOS MENORES DE 22 ANOS                                                         "
347,1620,TITULAR,2011-03-30 00:00:00,Activo,SOCIO INDIVIDUAL                                                                                    
346,1621,TITULAR,2011-03-30 00:00:00,Activo,SOCIO INDIVIDUAL                                                                                    
345,1622,TITULAR,2011-03-30 00:00:00,Activo,SOCIO INDIVIDUAL                                                                                    
837,1715,TITULAR,2011-11-25 00:00:00,Activo,"TITULAR, PADRE Y MADRE                                                                              "
837,1716,MADRE,2011-11-25 00:00:00,Activo,ADHERENTE SIN CARGO                                                  
837,1717,PADRE,2011-11-25 00:00:00,Activo,SOCIO INDIVIDUAL                                                                                    
837,1718,HERMANO/A,2011-11-25 00:00:00,Activo,SOCIO INDIVIDUAL                                                                                    
835,1720,TITULAR,2011-11-23 00:00:00,Activo,"TITULAR, PADRE Y MADRE                                                                              "
835,1721,MADRE,2011-11-23 00:00:00,Activo,ADHERENTE SIN CARGO                                                  
835,1722,HERMANO/A,2011-11-23 00:00:00,Activo,SOCIO INDIVIDUAL                                                                                    
833,1723,TITULAR,2011-11-22 00:00:00,Activo,"TITULAR, CONYUGE E HIJOS MENORES DE 22 MAS PADRES O SUEGROS          "
833,1724,HIJO/A,2011-11-22 00:00:00,Activo,ADHERENTE SIN CARGO                                                  
833,1725,HIJO/A,2011-11-22 00:00:00,Activo,SOCIO INDIVIDUAL                                                                                    
833,1726,HIJO/A,2011-11-22 00:00:00,Activo,SOCIO INDIVIDUAL                                                                                    
833,1727,MADRE,2011-11-22 00:00:00,Activo,SOCIO INDIVIDUAL                                                                                    
833,1728,PADRE,2011-11-22 00:00:00,Activo,SOCIO INDIVIDUAL                                                                                    
833,1729,SUEGRO,2011-12-22 00:00:00,Activo,SOCIO INDIVIDUAL                                                                                    
832,1730,TITULAR,2011-11-17 00:00:00,Activo,"TITULAR, CONYUGE E HIJOS MENORES DE 22 MAS PADRES O SUEGROS          "
832,1731,ABUELO/A,2011-11-17 00:00:00,Activo,ADHERENTE SIN CARGO                                                  
832,1732,TIO/A,2011-11-17 00:00:00,Activo,SOCIO INDIVIDUAL                                                                                    
832,1733,HIJO/A,2011-11-17 00:00:00,Activo,SOCIO INDIVIDUAL                                                                                    
495,424,TITULAR,2011-06-22 00:00:00,Activo,"TITULAR, CONYUGE E HIJOS MENORES DE 22 ANOS                                                         "
495,425,HIJO/A,2011-06-22 00:00:00,Activo,ADHERENTE SIN CARGO                                                  
344,1623,TITULAR,2011-03-30 00:00:00,Activo,SOCIO INDIVIDUAL                                                                                    
767,888,CONYUGE,2011-10-12 00:00:00,Activo,SOCIO INDIVIDUAL                                                                                    
260,644,TITULAR,2008-12-12 00:00:00,Activo,"TITULAR, CONYUGE E HIJOS MENORES DE 22 MAS PADRES O SUEGROS          "
260,645,CONYUGE,2008-12-12 00:00:00,Activo,ADHERENTE SIN CARGO                                                  
260,646,HIJO/A,2008-12-12 00:00:00,Activo,SOCIO INDIVIDUAL                                                                                    
260,647,HIJO/A,2008-12-12 00:00:00,Activo,SOCIO INDIVIDUAL                                                                                    
260,648,MADRE,2008-12-12 00:00:00,Activo,SOCIO INDIVIDUAL                                                                                    
892,1769,TITULAR,2011-12-07 00:00:00,Activo,"TITULAR, PADRE Y MADRE                                                                              "
892,1770,MADRE,2011-12-07 00:00:00,Activo,ADHERENTE SIN CARGO                                                  
892,1771,PADRE,2011-12-07 00:00:00,Activo,SOCIO INDIVIDUAL                                                                                    
894,1772,TITULAR,2011-12-07 00:00:00,Activo,"TITULAR, PADRE Y MADRE                                                                              "
894,1773,MADRE,2011-12-07 00:00:00,Activo,ADHERENTE SIN CARGO                                                  
894,1774,PADRE,2011-12-07 00:00:00,Activo,SOCIO INDIVIDUAL                                                                                    
619,112,TITULAR,2011-08-30 00:00:00,Activo,"TITULAR, CONYUGE E HIJOS MENORES DE 22 MAS PADRES O SUEGROS          "
343,1624,TITULAR,2011-03-30 00:00:00,Activo,SOCIO INDIVIDUAL                                                                                    
628,115,TITULAR,2011-08-30 00:00:00,Activo,"TITULAR, CONYUGE E HIJOS MENORES DE 22 ANOS                                                         "
342,1625,TITULAR,2011-03-30 00:00:00,Activo,"TITULAR, CONYUGE E HIJOS MENORES DE 22 ANOS                                                         "
331,1626,TITULAR,2011-03-25 00:00:00,Activo,"TITULAR, CONYUGE E HIJOS MENORES DE 22 MAS PADRES O SUEGROS          "
